id,bom_line_ids/id,bom_line_ids/product_id/id,bom_line_ids/product_qty,bom_line_ids/product_uom_id/id,product_tmpl_id/id,product_uom_id/id,product_qty
init.4b7e391c-385c-4151-b9af-11ed617c9cd8,init.0e5234fb-a405-4962-9b36-1e4be9c0bfff,init.56df8cd5-3745-4910-89e5-91490b79a159,10,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.3d3593c6-64af-4046-891b-260c03b6fcfb_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,1
init.eb53a55b-8657-4641-9f40-f8f3d11249cd,init.345cf8d7-9969-4ffd-bc2e-ffd6b0f5dba4,init.fc30b4e5-475e-46ea-91fe-a438d68cfc04,10,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.10a9b381-7926-459c-94ff-c81440430fbf_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,1
init.72b3994b-358a-4ff7-99b3-1585d7d8dc12,init.298b02e5-81ce-4818-bd82-44a71dbd15a3,init.98669d2b-25dc-49bf-9728-e8cb32713747,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.db6a8397-962a-49ff-be8e-8045d1ddd4f9_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.7f4c30d3-b721-4f58-9909-9cde8e88e76b,init.1c76f012-3091-4c98-98e3-2cc357dae07d,init.44626bf5-9b4b-4f22-8422-6cb3a0247547,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.1da9b2dc-d74e-4ce5-bdba-c31a75409b12_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.30eb0f1a-9348-4029-a37c-0deeb3bb48b2,init.a0e92dbe-318e-4fab-acfa-cfe0a1719ebc,init.342223bc-0962-4893-82d0-50a3ca636928,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.96a77ccd-de13-456a-9f67-559902b9969e_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.46c1edc2-8c63-4783-b90d-580170db0bc7,init.0c63bf76-ee65-4ef7-922e-60f71c20606e,init.9154f916-a9eb-4814-b46c-68508cefb465,28,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.d23311cd-8ba0-440e-8aeb-5edf028a654f_product_template,init.5e65bae4-3356-4fb1-b3b8-c04b7bd40dbc,1
init.c5e58008-dee0-4583-8d53-8d1b0eeabbc9,init.ae5d7eea-5029-44fb-bd7c-4a09c1966889,init.cdd98ebe-ed12-45f8-ada9-c08937f650d3,14,init.e946eb88-c6ce-481a-8f76-a979f684fada,init.dd5de8d8-0f0d-4e4a-8e96-bd1a5cd7e116_product_template,init.beabdc93-f6ad-4f7b-8d90-49766f95277d,1
init.7c6c189d-5297-470a-b888-443ac082d873,init.ec3ee701-652d-4f1c-89c9-3321e39e271c,init.84944ce4-a777-4de8-b479-3b3c48b1c6df,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.188e709e-fe0a-47a2-95ba-08e362dbd82d_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.2db86db1-324e-45d1-b505-b3b3e5de7ef4,init.b12b3eff-24a5-48fb-930f-f11a471a31c3,init.ff3667a6-b38b-43d8-a9ed-729c832eae44,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.60e587d9-94a1-46c7-9f68-da7db6734af0_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.41dbbff1-272c-4325-ae5a-34401b0cccc3,init.10d1c3da-0340-4d4a-9b3a-9c5c76ada249,init.f7de0073-e19b-4845-b8c6-2f1d8b4e17a9,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6e50abf7-da9b-4a65-a7da-f9d5fbc181a4_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.2d4a7082-348e-4f0b-abaa-27f293a17105,init.2d8c989a-4383-4eae-ba2f-340304cb6c8a,init.7d8cc4b8-4fd2-4361-9d19-e33c4d712bb7,20,init.c2ba3844-98b7-4d3c-b98f-4adfc46658ee,init.27becf5b-1d28-403f-8ba0-5b1ac294232b_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.ee379a31-999a-4640-8a9f-747489b069b0,init.0b881f5c-4acd-403d-af6c-76af6af97ba0,init.7baca14a-d868-4f59-b0f2-b83af13df5a2,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.977c707e-5e5f-4fd2-ace2-a94ca337596d_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.958b1df6-e20f-4dac-8071-0e50b5c05104,init.1608193d-35e6-47ee-883a-618a48c8cc2c,init.7421f856-5b36-4683-aece-f255430ea6a7,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.4311ad61-6df1-4528-b989-0aa508fc758b_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.4bb99f7d-b91b-4f5f-9f40-8dbabc4332bc,init.947c70af-3710-4b20-bf92-6c66aaa5f7f5,init.18adf876-df56-40dd-84bf-88db3eb5f4fb,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.d4973169-6f6b-40c2-a65a-7794cca42413_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.ea6a713f-2161-40cd-803b-282dff10ab94,init.c0d1c76a-5366-4242-a182-f57ac3f05a09,init.a8640545-0fc3-4760-911c-1ec6286460a9,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.679d044e-b569-499a-b279-9a004bdeb6be_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.7d23d3fe-43a5-42f8-b3a6-09076e1eb73e,init.b41a3ef7-7413-4902-8dbd-f6ef90fe4b8c,init.cece1104-8714-4dce-8b14-09b35019d300,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.c278f65b-3ee4-48bb-a5a3-d01b05b19630_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.d89269e2-4499-4aef-b9a3-0685e3a34de3,init.80223b42-8675-4a77-8498-0f57a2345d1b,init.d65cc133-2066-48f1-b602-a9e0e414a291,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.10f545ec-13d7-4bda-bc02-e8fe3e706ae0_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.18446ce2-35ca-4852-91ef-8c1f36ad6705,init.76ed5239-82ef-4e98-8a7d-936b0b148096,init.b73f5109-c40d-41ff-8473-f8bcd4fbf721,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.61f86387-4fe0-4fb2-8d9d-2538630702ac_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.09eebe28-a892-40da-9ce5-232000bdcdf3,init.21bd38c8-7e89-4bd2-acd2-5010fd672d33,init.a10e2665-fde9-4b2c-a8d3-5c24a62f7dd7,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.c703930f-700a-4881-89e2-c1206e8053fe_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.11167059-df23-47d7-a729-00982d6caf01,init.6fe6b877-b7f5-4e6e-a0c1-0b5beebe9898,init.8111a0a1-dc8a-4f77-8ef5-4ec673545c42,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.cbbf6430-d52e-4a43-9466-5e71751b26e3_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.5a3fa2b5-de61-40f7-877c-922130a9f3c0,init.81677b92-0bc3-494f-8ab0-1327692a47ca,init.385db4c1-ac65-442d-bf3a-825e081a2f09,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.d7bef4b0-c8ca-4c44-9fe2-499acd893acb_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.051dff8e-8107-47d4-a57c-c237d7f23a57,init.cc033a41-77ab-4efd-94c8-562d2c668e6f,init.27e57510-e873-409c-9e38-934e69579cf8,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.152242e1-6d06-455e-9b94-758b7fa4e3d5_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.a3803243-31d7-44fa-8ee1-dbc6acfa02f9,init.afa5d5b6-1115-4866-89e0-67a9dc2b3c5f,init.f878d68b-2ce8-4d10-95fa-341864dfa42b,30,init.c2ba3844-98b7-4d3c-b98f-4adfc46658ee,init.c9d9540c-80e0-49ee-8819-44811ecbb23e_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.2ac826ae-ebdc-4c5f-99cb-5a51a6064460,init.60860b3e-f2fc-48eb-92d8-4367ff315df3,init.fd9dc574-da13-4853-9f91-63e66bb38c5b,30,init.c2ba3844-98b7-4d3c-b98f-4adfc46658ee,init.7a0e124d-0d98-46e3-ab09-9a91c7355e9c_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.fded4b3a-9674-4cdb-9ba2-a5ec922b61f7,init.2a66d37b-bbf2-4eaa-9e0c-86ca464d6b26,init.84ba67a3-4ad3-433d-a463-1fa9d46bad5f,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.1a3d9c2d-7067-4d68-8f5c-70c4afea89d1_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.689b1305-554f-4dea-ad51-34f86a95dbb4,init.b7b0d091-690e-4ba5-8014-1ce21bca91da,init.6c32edca-6ada-42dd-a781-d33f0d3f71ef,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.965fc5df-774b-490b-a9cf-612edca52e4f_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.cf8a5acc-3786-4c20-ac44-fa536383c59d,init.83341acc-d153-49f9-9f86-35bc6f9d38a5,init.f6128c81-3b8c-4062-8a02-889cc6de6f0a,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.64acfb5e-3345-4de6-9ba9-e5cff2108870_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.5be6a565-b375-40cf-bfb4-9849c7ef7be0,init.d0531c5e-cf70-4fc0-b578-248327b25c88,init.26448d9e-d985-47f6-bc4d-85db3bd76615,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.bc1a0f9e-bf4a-458e-81e3-d47f6b84a4a5_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.7bd2c79d-9823-4c92-b683-cfc2a2d4bdb2,init.bb10ea8a-4ae0-4c16-9622-334f621aac69,init.5c249741-6788-46af-8297-c784bb9699db,14,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.eedb9a42-360d-4fe1-806c-edffbfbd14a4_product_template,init.beabdc93-f6ad-4f7b-8d90-49766f95277d,1
init.c19424b0-b4ef-40f4-ace9-5e23a2e038e7,init.2edf41d2-e551-4c1d-92d7-20106a1bdb72,init.acdf671e-da99-44b7-91c0-37e5853b2ca5,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.df721c53-7c8a-460b-ae00-a4d6d9181e01_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.3c8b8f7e-e772-48a7-a697-1fd924850205,init.eea32897-2402-4c86-a950-ee9b3d28f26d,init.3d4203b7-af5b-4f7b-b458-29530080218d,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.f278f3e4-bbc1-45ec-b3f7-5ea0825c1157_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.710dd7df-a726-4af2-856a-78bf17ac9d94,init.ca67d55d-6203-4aea-9584-0ac2eaca1495,init.7557c377-e85d-477d-a47f-4babb790dffe,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.e2805e35-b1c6-4430-8626-7a21d8525958_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.3138d3bb-315e-469b-a91a-3e40ff027630,init.4f67aa2f-34ef-4df6-9205-8c2a871e676c,init.d5ed6a6a-8fe8-4b47-b4ea-5ba206b98f76,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.eafe6dc2-dae7-46ba-b363-61b994785f59_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.5ef9f139-4096-4198-bbff-ad37f7b41f56,init.7212e469-0ca6-45e2-abde-6d10987979da,init.933ca11f-fc57-479b-af31-7f7f89828d1a,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.b62299b8-7dab-439d-9d66-25c2fdf8d3ed_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.bb8c59db-bca5-479c-8756-a4015d490f38,init.3d788b58-a207-4854-95e6-eac5b55cc03c,init.1f5f39fc-497e-462d-a09f-070b6ca8e0a0,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.4881b787-630a-46e1-ad43-ddfc2b810da7_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.73072ee9-4a7a-4362-9651-87ce6cae2365,init.2fc7de90-8a47-42c9-8a7c-a2984c55ff88,init.c7226b61-c0b9-4446-8885-47f091b3eb22,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.345a7350-e076-474b-b4c2-8cb663c91e18_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.fd81d18f-f23e-4b9a-8cae-fdad79787476,init.bd0cdd8a-9314-4968-ba13-2533b64791dc,init.041c3441-4054-43b9-9fbe-52eb4566ca00,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.17314234-0eaa-4937-b809-ea8b7811c75c_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.b8f6d202-b5cb-462d-b26d-f8cedb4d40d1,init.d1a6d816-b47a-4963-b6e1-6046d0194872,init.018743f4-180d-49b9-91d3-a6139cb7988b,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.4c422174-dd9b-4b43-9f7b-95608e6a4c92_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.2e1ba455-aed0-423f-98c4-95956fbe74fb,init.69bf854a-56f9-48e3-9e8d-19cd58801631,init.58c2038b-c438-4656-9edd-4b1df500dd17,7,init.e946eb88-c6ce-481a-8f76-a979f684fada,init.7ab133ec-f025-4708-80e6-c11670af8271_product_template,init.ecbf0c21-567f-4485-911d-24dd2a39f665,1
init.c234e78b-2752-4a18-ad3f-2760d23c4cc1,init.5505474c-2b58-4da2-a954-9fd5591b759c,init.67ef06a1-497b-480f-a78d-c0c05c0e562f,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.d20e3ab0-6297-4a6c-9eb9-7af5e9abc05f_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.7233874c-74d4-4db3-afc7-4897b75225a4,init.dac35d46-31d4-40e9-8f75-e59c2e18def0,init.bd3bb1ec-cf99-471e-9c1c-00b553b78a6f,3,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.9779f643-b66c-4611-87ab-69fffb29f4a2_product_template,init.f4ef97de-7f88-48aa-bb23-9d7dec44cc53,1
init.3bb32ae1-b576-4b4e-a932-d9871bf2fc5f,init.1dbfb7f5-a3e7-4f53-b5c5-66d0e46cf6aa,init.f548d5aa-95a5-46ec-823e-fed422dfcbdc,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.a43bee20-418c-4c5a-af26-879645670104_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.76d75462-970c-428c-85df-6902b4836b49,init.9cb8bf02-ba8c-4bf5-82f1-b3434989a17a,init.9641ec9c-9813-4c48-9b3c-27dcb2047bb1,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.09e7f488-aeb8-4a25-833e-783c137e6086_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.7ca1c506-4073-4f9c-b4dd-1f355057e069,init.7de8c308-3988-43ea-8d99-402eea2357b5,init.f90022d7-32c6-4c90-abf7-63abdd070120,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.edef1db4-393d-487e-9c10-3aea618094bb_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.6b2aeb10-308a-4579-b500-c9a61cc1ec85,init.ac90f1d8-3a59-4a06-b59a-774319992f1e,init.3b4729ba-1f9e-4f2b-a260-df716bf8fa3f,10,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.8c8280d2-53ab-4b70-aac9-8c512653e3da_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,1
init.a9705129-9b07-47ff-9fa9-2345798c913d,init.fbcd4603-c48d-49ab-acb6-326311a46cc9,init.039b9fc4-11ba-4b58-8bef-4444c69c1f9b,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.7253a79e-ece9-4276-ba32-950d2e350048_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.37367832-be09-413d-8849-f53eb27ef3a5,init.7788685d-d3f9-435f-8232-9bcf55d40221,init.d85db9b5-2f09-4d04-8ad4-0f0e97c5e271,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.e6f49e70-b925-44a3-9d65-71a62a2d8a04_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.48627ecd-4c99-4309-890f-0e64bc65914e,init.5ef1815c-c68d-4e57-858c-5696d3364b31,init.12d29b03-08d8-4b7d-b3d3-e15a587fe010,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.cf63a9b7-565e-4f44-9288-e120b4d3d589_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.edea7436-affc-4458-a82e-5a383ec18e56,init.97dcf5b1-bc91-40d1-b2f3-94f07e5aa514,init.f1048661-ffd6-407c-ba6e-a2528d88e85c,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.f378573f-cc58-48ba-9bec-0d249bb459ac_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.a1778672-831d-4314-9469-4a5e7538a7b7,init.5891856b-0069-4fe4-b7f9-1d31b8d4e393,init.7c8ac507-65f5-4b8a-9977-05eb69c38f7b,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.84796f31-9a33-46d9-a9d4-630c97a25fac_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.9d3d7f07-b7bc-458b-b977-a6240cae8aa1,init.18a3ff7b-074e-41ed-8379-df0ed59f12fe,init.f313b82b-7357-482f-9054-7d3fecf50f3b,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.e067ee9b-4f11-4fb2-a656-3c4a455b5176_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,1
init.b4f2f4b3-547b-44e6-bffe-0703c91d3783,init.fce256d5-05a8-49bb-9655-d34000985955,init.6ab11a08-6a17-41c8-a288-b9fe2c7190c8,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.9cbe1fc5-d2a4-44cf-8d88-c3aa3a376bc8_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.9cf1f9df-80a4-4992-a95b-5c794778a46b,init.7343840c-ee97-4b08-8056-223841ef3bf0,init.9e753125-a137-41fb-a21f-a267780703c7,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.81eda018-b190-4e0b-89b6-cf8a814b0ea6_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.aa4f3392-03c1-4f23-95ac-9bb99b0f5d0d,init.d24e277f-c20c-4c47-943b-b32efb5d038e,init.3d9e5576-e9a0-44b1-8d9a-bad42a8ecd45,30,init.c2ba3844-98b7-4d3c-b98f-4adfc46658ee,init.68b0d0d7-7e03-403d-99a8-795191ced670_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.1ec61a19-cbdd-4203-ac6b-20706218a87b,init.3e9f0263-39e1-4432-9052-b0d6ad1ccca1,init.87b1e052-324a-4767-8c5e-a4fc0671fa54,30,init.c2ba3844-98b7-4d3c-b98f-4adfc46658ee,init.94b0f7c9-6648-4da5-98d8-61988142eea4_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.ddc938c2-080c-4402-a434-69e10c0f8436,init.82c66c2e-49ee-4432-9769-7591051d7a08,init.7e59d646-41fe-4150-b314-6be7f92ee8af,30,init.c2ba3844-98b7-4d3c-b98f-4adfc46658ee,init.e516f7e3-4111-41af-b50b-d2c3b5297410_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.defbdb0e-59ca-4ef7-a759-e09d8e0d5df7,init.fc7d07c9-f455-4623-a949-53874b44fe38,init.e04a9e67-e0a0-4857-8802-3c831c82e660,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.60f0c3c0-ae59-4a37-8bda-1e9e5ec94e61_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.120a7dc2-3526-46b6-bea6-e85e6f52aa87,init.83c769ba-f306-48d6-8d5e-8d6793b5b662,init.207b8b09-e0df-41de-9192-51207faea59c,20,init.c2ba3844-98b7-4d3c-b98f-4adfc46658ee,init.02ca5537-3138-4875-a24e-d3dd55b9abf8_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.aee1b68e-edb7-41b2-8582-ed6304cd85ee,init.ef09cf31-4b04-4efd-827f-567fe695346b,init.116da665-06f0-43f4-b589-1958900ebea4,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.fb7ddb9d-031b-4b9c-ab7e-b3946c4d9be5_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.7000ab58-c542-4ba3-88e9-0769391166cc,init.5f29e516-6b57-4cc5-affd-e0e7fd3755ea,init.5526d9bc-2ebb-41a9-b56c-cda3c38a5aa6,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.ef3cf453-1212-45bf-bbd2-b64790f50047_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.c5facc3c-cfeb-4a75-909a-7812a8ff3a3a,init.f3ba1cbf-2ed0-4e97-ab2b-656250f2ab21,init.f01b7e47-3096-48cf-b9c0-f35dcea279f1,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.14417680-8247-4e62-8ff5-ad098fad508a_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.0f9112a0-d8ef-4468-9939-aa5d2f88e934,init.1fb13b3b-dfff-41e9-8789-be2bdf342558,init.86a11379-556a-4b4a-a759-ad2765d20ba0,10,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.b90b8b23-7ffc-41d4-a794-51f59cece2f4_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,1
init.bc6bf86b-a72d-44b9-9858-a246e56ecc29,init.d97fbf4c-8a74-4b0d-8ab6-ce71f9df1be0,init.ef6dffda-f420-4f0e-9f50-cb1d7a0eff00,30,init.c2ba3844-98b7-4d3c-b98f-4adfc46658ee,init.e388bede-abbd-4b18-9b49-1a6dd745de58_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.03bba6d4-7f13-44cb-b554-7fd57f2f983e,init.c7cbb9dd-4bb1-4240-b9db-86c15e0a5fb4,init.716a4c45-5293-489c-a334-9aa664338bff,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.3d77613f-f1cf-4cb8-8820-00a0cc253f35_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
